first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Important_Customer,Age_Category,Tenure_Category,past_3_years_purchase_cat
Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,New South Wales,Australia,9,NO,Senior_Citizen,1,1
Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,,Mass Customer,N,Yes,6,8 Debs Road,3934,Victoria,Australia,9,YES,Middle_Aged,1,0
Roberto,Harme,Male,27,1951-06-11,Environmental Tech,,High Net Worth,N,No,10,101 Starling Pass,2564,New South Wales,Australia,9,YES,Senior_Citizen,2,2
Nichole,Leisman,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,New South Wales,Australia,12,NO,Middle_Aged,0,3
Amil,Ennor,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,Victoria,Australia,11,YES,Young,2,2
Shawna,Hinrichsen,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,New South Wales,Australia,2,YES,Middle_Aged,1,6
Fonsie,Levane,Male,96,1951-07-10,Account Representative III,,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,Queensland,Australia,3,YES,Senior_Citizen,3,9
Emilie,Brody,Female,3,1979-05-22,Director of Sales,,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,New South Wales,Australia,11,NO,Middle_Aged,0,0
Robert,Corkill,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,New South Wales,Australia,10,YES,Middle_Aged,0,5
Elvira,Kurten,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,New South Wales,Australia,3,NO,Middle_Aged,2,6
Juliana,Mitchenson,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,Queensland,Australia,4,YES,Young,1,5
Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,Victoria,Australia,9,NO,Senior_Citizen,3,9
Abner,Fraschetti,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,Victoria,Australia,7,NO,Middle_Aged,2,3
Alvira,Coulman,Female,42,1955-06-05,Account Representative II,,Affluent Customer,N,No,14,823 Wayridge Trail,2205,New South Wales,Australia,9,NO,Senior_Citizen,2,4
Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,New South Wales,Australia,11,NO,Senior_Citizen,2,3
Feodor,Vickers,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,New South Wales,Australia,6,YES,Young,0,6
Paten,Cayet,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,Victoria,Australia,1,YES,Young,3,5
Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,Victoria,Australia,8,YES,Senior_Citizen,1,7
Tanya,Kiefer,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,New South Wales,Australia,9,YES,Young,1,5
Devonne,Alderwick,Female,79,1939-01-29,Research Associate,,High Net Worth,N,Yes,9,534 Lien Lane,3122,Victoria,Australia,7,YES,Senior_Citizen,1,7
Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,New South Wales,Australia,9,NO,Senior_Citizen,3,5
Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,New South Wales,Australia,10,NO,Senior_Citizen,2,9
Keriann,Newham,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,Queensland,Australia,9,YES,Middle_Aged,1,7
Conroy,Rappaport,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,New South Wales,Australia,9,YES,Middle_Aged,1,3
Dorian,Rustman,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,Queensland,Australia,7,NO,Middle_Aged,3,7
Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,,High Net Worth,N,Yes,21,803 Badeau Point,2177,New South Wales,Australia,8,NO,Senior_Citizen,3,3
Harlin,Mazin,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,New South Wales,Australia,7,YES,Middle_Aged,2,3
Eustacia,Dornan,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,Victoria,Australia,9,NO,Middle_Aged,1,6
Maury,Galego,Male,65,1992-07-27,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,Victoria,Australia,10,NO,Young,0,6
Reggie,Kernar,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,New South Wales,Australia,10,NO,Middle_Aged,3,2
Brigitte,Whellams,Female,67,1973-05-09,Payment Adjustment Coordinator,,Mass Customer,N,Yes,17,77785 Veith Lane,2766,New South Wales,Australia,8,NO,Middle_Aged,3,6
Kinna,Kollasch,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,Queensland,Australia,10,NO,Middle_Aged,1,0
Maurizio,Comi,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,New South Wales,Australia,9,YES,Young,2,7
Elbertina,Fendley,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,New South Wales,Australia,11,YES,Young,1,3
Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,New South Wales,Australia,8,NO,Senior_Citizen,1,5
Allyson,Petchell,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,New South Wales,Australia,8,YES,Middle_Aged,2,1
Ermentrude,Heindle,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,New South Wales,Australia,10,YES,Middle_Aged,1,4
Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,Victoria,Australia,12,YES,Senior_Citizen,2,2
Vincent,Jopke,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,Victoria,Australia,3,NO,Middle_Aged,3,0
Mandie,Jeffryes,Female,60,1981-02-16,Business Systems Development Analyst,,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,Queensland,Australia,9,NO,Middle_Aged,1,6
Collete,Dory,Female,66,1990-01-09,Information Systems Manager,,High Net Worth,N,No,2,8625 Dakota Plaza,2210,New South Wales,Australia,9,YES,Young,0,6
Leonid,Dorricott,Male,44,1993-11-18,Environmental Tech,,Affluent Customer,N,No,3,02 Hoffman Road,2448,New South Wales,Australia,3,NO,Young,0,4
Charlena,Berney,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,Queensland,Australia,4,NO,Middle_Aged,2,5
Alfonso,Massel,Male,70,1940-12-05,,,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,Victoria,Australia,7,NO,Senior_Citizen,2,7
Engracia,Dobbs,Female,84,1959-04-19,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,New South Wales,Australia,8,YES,Senior_Citizen,3,8
Glyn,,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,New South Wales,Australia,9,NO,Senior_Citizen,3,4
Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,Queensland,Australia,1,YES,Senior_Citizen,1,4
Alano,Satchel,Male,2,1998-11-26,Recruiting Manager,,Mass Customer,N,No,2,87107 Shelley Crossing,2429,New South Wales,Australia,7,YES,Young,0,0
Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,New South Wales,Australia,8,YES,Senior_Citizen,2,1
Benoit,Harniman,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,Queensland,Australia,7,NO,Middle_Aged,1,3
Jeanne,Darte,Female,70,1955-08-18,,,Mass Customer,N,Yes,11,3 Homewood Park,2756,New South Wales,Australia,7,NO,Senior_Citizen,2,7
Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,New South Wales,Australia,9,NO,Senior_Citizen,3,1
Tannie,Gambrell,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,Queensland,Australia,4,NO,Middle_Aged,0,9
Mick,Macewan,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,New South Wales,Australia,10,NO,Middle_Aged,3,3
Abbie,Oldman,Male,82,1983-11-26,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,New South Wales,Australia,8,YES,Middle_Aged,1,8
Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,Victoria,Australia,6,NO,Young,1,1
Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,New South Wales,Australia,8,YES,Senior_Citizen,2,2
Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,Queensland,Australia,7,YES,Senior_Citizen,3,0
Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,New South Wales,Australia,11,YES,Young,0,1
Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,,Mass Customer,N,No,5,6 Lotheville Trail,2444,New South Wales,Australia,7,NO,Young,1,5
Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,Queensland,Australia,2,NO,Middle_Aged,3,0
Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,New South Wales,Australia,11,NO,Middle_Aged,3,7
Hunfredo,Hayball,Male,7,1994-04-15,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,New South Wales,Australia,8,YES,Young,0,0
Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,Victoria,Australia,8,NO,Middle_Aged,3,6
Kort,Disley,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,New South Wales,Australia,9,YES,Middle_Aged,1,6
Gretna,Thredder,Female,62,1966-01-08,,,Mass Customer,N,No,18,1607 Westridge Drive,2203,New South Wales,Australia,11,NO,Middle_Aged,3,6
Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,New South Wales,Australia,8,YES,Young,1,6
Wallace,Newart,Male,91,1977-12-06,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,Queensland,Australia,1,YES,Middle_Aged,3,9
Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,Queensland,Australia,8,NO,Young,3,0
Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,New South Wales,Australia,9,NO,Senior_Citizen,2,3
Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,New South Wales,Australia,9,YES,Middle_Aged,1,5
Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,New South Wales,Australia,8,NO,Senior_Citizen,1,4
Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,Queensland,Australia,4,YES,Middle_Aged,2,4
Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,New South Wales,Australia,10,YES,Middle_Aged,2,5
Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,New South Wales,Australia,9,NO,Senior_Citizen,3,5
Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,,Mass Customer,N,No,14,3 Anthes Court,2148,New South Wales,Australia,9,NO,Middle_Aged,2,9
Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,New South Wales,Australia,7,YES,Senior_Citizen,3,5
Agace,Hedge,Female,25,1997-07-23,Media Manager II,,Mass Customer,N,Yes,13,92 Petterle Place,3429,Victoria,Australia,8,YES,Young,2,2
Rolland,Esmead,Male,41,1940-07-13,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,New South Wales,Australia,8,YES,Senior_Citizen,1,4
Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,New South Wales,Australia,8,NO,Senior_Citizen,2,9
Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,,Mass Customer,N,Yes,8,811 Melrose Park,2224,New South Wales,Australia,10,NO,Senior_Citizen,1,3
Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,Queensland,Australia,1,YES,Senior_Citizen,3,8
Harman,Lynds,Male,4,1961-05-27,Professor,,Mass Customer,N,Yes,5,538 Gina Way,4105,Queensland,Australia,8,NO,Senior_Citizen,1,0
Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,Victoria,Australia,9,YES,Middle_Aged,1,1
Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,Queensland,Australia,9,YES,Senior_Citizen,1,9
Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,Victoria,Australia,4,NO,Middle_Aged,3,5
Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,Queensland,Australia,8,NO,Senior_Citizen,2,2
Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,,Mass Customer,N,Yes,19,75760 Toban Junction,4006,Queensland,Australia,5,NO,Senior_Citizen,3,0
Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,Victoria,Australia,10,YES,Middle_Aged,0,0
Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,Queensland,Australia,3,NO,Middle_Aged,2,7
Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,Queensland,Australia,7,NO,Middle_Aged,2,4
Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,New South Wales,Australia,4,YES,Middle_Aged,2,5
Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,Queensland,Australia,3,YES,Middle_Aged,3,5
Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,New South Wales,Australia,10,NO,Middle_Aged,2,9
Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,Queensland,Australia,2,YES,Middle_Aged,1,8
Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,New South Wales,Australia,9,NO,Senior_Citizen,1,1
Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,New South Wales,Australia,9,NO,Middle_Aged,1,9
Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,New South Wales,Australia,12,NO,Young,2,7
Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,Victoria,Australia,10,NO,Senior_Citizen,3,1
Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,Victoria,Australia,12,YES,Senior_Citizen,3,4
Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,,Mass Customer,N,No,5,5356 Sugar Plaza,4818,Queensland,Australia,3,YES,Senior_Citizen,1,3
Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,,Mass Customer,N,Yes,9,7 Schiller Point,4113,Queensland,Australia,6,NO,Young,1,4
Kaela,Romaines,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,New South Wales,Australia,10,NO,Middle_Aged,3,4
Evonne,Bembridge,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,Victoria,Australia,9,YES,Middle_Aged,2,0
Shannen,Lewin,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,Queensland,Australia,6,NO,Young,1,2
Bogey,Attew,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,Queensland,Australia,9,NO,Young,2,8
Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,Queensland,Australia,5,NO,Senior_Citizen,1,3
Barnebas,Apfel,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,Queensland,Australia,6,YES,Young,0,5
Alleen,Eaken,Female,56,1938-08-31,,,Mass Customer,N,No,10,343 Lakewood Center,2089,New South Wales,Australia,12,NO,Senior_Citizen,2,5
Gerri,Schimann,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,New South Wales,Australia,8,YES,Middle_Aged,3,8
Antonietta,Egle,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,Victoria,Australia,7,YES,Middle_Aged,1,8
Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,Victoria,Australia,7,NO,Senior_Citizen,2,7
Lark,Gonet,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,New South Wales,Australia,8,YES,Middle_Aged,1,8
Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,Victoria,Australia,7,YES,Young,0,8
Bartram,Di Lucia,Male,70,1961-01-03,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,New South Wales,Australia,3,NO,Senior_Citizen,1,7
Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,New South Wales,Australia,10,NO,Middle_Aged,0,9
Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,New South Wales,Australia,9,YES,Senior_Citizen,1,4
Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,New South Wales,Australia,9,NO,Middle_Aged,2,3
Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,Victoria,Australia,3,YES,Middle_Aged,1,9
Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,New South Wales,Australia,12,NO,Senior_Citizen,1,7
Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,Victoria,Australia,9,NO,Senior_Citizen,1,5
Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,Victoria,Australia,9,NO,Middle_Aged,3,6
Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,Victoria,Australia,9,YES,Middle_Aged,3,8
Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,New South Wales,Australia,12,NO,Middle_Aged,1,0
Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,Victoria,Australia,8,NO,Middle_Aged,2,2
Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,Victoria,Australia,2,YES,Middle_Aged,3,3
Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,,Mass Customer,N,No,17,07 Dayton Court,4005,Queensland,Australia,7,YES,Senior_Citizen,3,8
Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,Queensland,Australia,7,YES,Middle_Aged,2,8
Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,New South Wales,Australia,3,NO,Senior_Citizen,3,0
Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,Queensland,Australia,8,YES,Senior_Citizen,2,7
Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,Queensland,Australia,10,YES,Senior_Citizen,1,0
Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,New South Wales,Australia,7,NO,Middle_Aged,1,9
Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,Victoria,Australia,1,YES,Young,2,5
Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,,High Net Worth,N,No,12,3 Surrey Court,2019,New South Wales,Australia,11,YES,Middle_Aged,2,9
Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,Victoria,Australia,8,YES,Middle_Aged,1,1
Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,,Affluent Customer,N,No,20,93235 Hoard Trail,3165,Victoria,Australia,6,YES,Senior_Citizen,3,8
Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,Victoria,Australia,7,NO,Middle_Aged,1,8
Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,Queensland,Australia,8,YES,Middle_Aged,0,3
Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,New South Wales,Australia,7,YES,Young,1,6
Rupert,Marrow,Male,73,1970-08-08,,Property,High Net Worth,N,No,19,2 7th Way,2760,New South Wales,Australia,8,YES,Middle_Aged,3,7
Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,New South Wales,Australia,8,YES,Middle_Aged,0,9
Ange,Chitham,Female,91,1991-02-14,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,New South Wales,Australia,8,NO,Young,2,9
Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,New South Wales,Australia,11,YES,Senior_Citizen,3,5
Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,Queensland,Australia,5,NO,Young,2,3
Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,Victoria,Australia,9,YES,Young,1,9
Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,New South Wales,Australia,12,YES,Middle_Aged,2,7
Linette,Boman,Female,56,1949-05-20,Account Executive,,Affluent Customer,N,No,11,7 Michigan Hill,2076,New South Wales,Australia,11,NO,Senior_Citizen,2,5
Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,Queensland,Australia,8,YES,Senior_Citizen,2,4
Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,Queensland,Australia,7,YES,Middle_Aged,1,8
Art,Carolan,Male,1,1954-11-09,Marketing Manager,,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,New South Wales,Australia,9,YES,Senior_Citizen,2,0
Alfi,Sabbins,Female,63,1959-06-12,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,New South Wales,Australia,3,YES,Senior_Citizen,3,6
Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,New South Wales,Australia,6,NO,Middle_Aged,2,4
Aldric,Birney,Male,21,1971-08-19,,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,New South Wales,Australia,6,NO,Middle_Aged,2,2
Natividad,Balducci,Female,39,1991-02-07,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,Victoria,Australia,11,NO,Young,2,3
Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,Victoria,Australia,5,YES,Middle_Aged,1,2
Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,New South Wales,Australia,8,NO,Young,1,6
Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,New South Wales,Australia,11,YES,Middle_Aged,1,9
Julietta,Setchfield,Female,73,1992-01-31,Operator,,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,Queensland,Australia,8,YES,Young,0,7
